Time,Velocity,Altitude,Pressure,Temperature,
2011:81:14:03:71,254.4507412504581,10019.144789792977,40.290649080281746,49.26883209415523,
2011:81:14:03:73,282.89100990432723,10180.684063506844,90.8280535429341,11.31865199446527,
2011:81:14:03:80,294.6338838697001,10047.503395689817,90.57100029717193,-41.25617635458998,
2011:81:14:03:83,281.7023802854221,10170.29426691462,96.57954153730876,-29.75681475955242,
2011:81:14:03:84,279.09183560165343,10197.007265889752,43.20651285413335,33.52766884986016,
2011:81:14:03:88,252.78267474380033,10013.264409947627,98.45941309034228,33.31095589679633,
2011:81:14:03:88,257.19581006824944,10189.131551563314,42.069680779421944,26.01800351805896,
2011:81:14:03:89,286.81067388207117,10128.037910998839,98.53311860353736,-37.54490533023446,
2011:81:14:03:89,260.4755162748035,10155.910456939702,96.67118696044028,1.21046901107551,
2011:81:14:03:90,299.37625713287935,10008.399706268228,44.28108941541495,44.987907035183454,
2011:81:14:03:92,264.00695520096883,10000.683700195148,43.037630723130036,-3.500075467928852,
2011:81:14:03:93,269.39764671815504,10104.409978198337,41.39570803237444,-17.944552883376538,
2011:81:14:03:93,281.01546000647835,10074.228873067676,43.58343024759608,-48.9851224246776,
2011:81:14:03:94,293.7763299835776,10048.437866144406,41.93291364675254,-8.005069193583289,
2011:81:14:03:95,278.3515656255178,10024.562823317661,98.53953451980976,30.083751939756937,
2011:81:14:03:96,251.42512670052704,10136.49124990031,44.78712349500023,-37.83796996907445,
2011:81:14:03:97,263.11520731620755,10141.415173465577,91.22374967261882,-15.428628395411025,
